addr_count,taken,total,bias
8448,1,1,0
9838,1,1,0
9839,1,1,0
9463,1,1,0
9464,1,1,0
9489,2,2,0
9490,1,1,0
9688,1,1,0
9689,1,1,0
8492,20,20,0
8493,1,1,0
6536,10,10,0
6537,1,1,0
7748,2,2,0
7749,1,1,0
7776,3,3,0
7777,1,1,0
7699,1,1,0
7700,1,1,0
9502,1,1,0
9503,1,1,0
7768,1,1,0
7769,1,1,0
6546,3,3,0
6547,1,1,0
6628,1,1,0
6629,1,1,0
9608,1,1,0
9609,1,1,0
7711,1,1,0
7712,1,1,0
8653,1,1,0
8654,1,1,0
6550,9,9,0
6551,1,1,0
8954,1,1,0
8955,1,1,0
7741,1,1,0
7742,1,1,0
7619,15,15,0
7620,1,1,0
9450,1,1,0
9451,1,1,0
7583,5,5,0
7584,1,1,0
7707,1,1,0
7708,1,1,0
8537,1,1,0
8538,1,1,0
6542,1,1,0
6543,1,1,0
8477,1,1,0
8478,1,1,0
9523,1,1,0
9524,1,1,0
7641,1,1,0
7642,1,1,0
6562,9,9,0
6563,1,1,0
8872,1,1,0
8873,1,1,0
8574,1,1,0
8575,1,1,0
7615,1,1,0
7616,1,1,0
7586,1,1,0
7587,1,1,0
7689,2,2,0
7690,1,1,0
8980,360,360,0
8981,1,1,0
9809,1,1,0
9810,1,1,0
7829,1,1,0
7830,1,1,0
7845,1,1,0
7846,1,1,0
8470,1,1,0
8471,1,1,0
9731,1,1,0
9732,1,1,0
7630,1,1,0
7631,1,1,0
9235,360,360,0
9236,1,1,0
8703,1,1,0
8704,1,1,0
8896,1,1,0
8897,1,1,0
7609,30,30,0
7610,1,1,0
9564,1,1,0
9565,1,1,0
7605,1,1,0
7606,1,1,0
7834,1,1,0
7835,1,1,0
6553,33,33,0
6554,1,1,0
7857,29,29,0
7858,1,1,0
7718,4,4,0
7719,1,1,0
8485,1,1,0
8486,1,1,0
7757,1,1,0
7758,1,1,0
7732,1,1,0
7733,1,1,0
9859,1,1,0
9860,1,1,0
6590,2,2,0
6591,1,1,0
9620,1,1,0
9621,1,1,0
8888,1,1,0
8889,1,1,0
8390,1,1,0
8391,1,1,0
8580,1,1,0
8581,1,1,0
7825,15,15,0
7826,1,1,0
7727,1,1,0
7728,1,1,0
7623,1,1,0
7624,1,1,0
7714,1,1,0
7715,1,1,0
8689,2,2,0
8690,1,1,0
9171,360,360,0
9172,1,1,0
7745,3,3,0
7746,1,1,0
5815,1,1,0
5816,1,1,0
5814,1,1,0
7824,14,14,0
7827,14,14,0
7673,14,14,0
7856,29,29,0
7861,29,29,0
7864,0,29,0
7865,29,29,0
7862,29,29,0
7863,29,29,0
8688,2,2,0
8695,2,2,0
8696,0,2,0
8697,2,2,0
9846,0,255,0
9847,0,255,0
9848,255,255,0
9849,255,255,0
9845,255,255,0
9850,254,255,0
9851,1,1,0
9852,1,1,0
7626,1,1,0
7627,1,1,0
7628,1,1,0
7629,1,1,0
7633,1,1,0
7634,1,1,0
7635,1,1,0
7636,1,1,0
7637,1,1,0
7638,0,1,0
7639,0,1,0
7640,1,1,0
7687,0,1,0
7688,1,1,0
7695,0,1,0
7696,1,1,0
7697,0,1,0
7698,1,1,0
7706,1,1,0
7709,0,1,0
7710,1,1,0
7713,1,1,0
7717,1,1,0
7720,0,1,0
7721,1,1,0
7722,1,1,0
7724,0,1,0
7725,1,1,0
7726,1,1,0
7731,1,1,0
7738,1,1,0
7739,1,1,0
7744,1,1,0
7747,1,1,0
7753,0,1,0
7754,1,1,0
7755,1,1,0
7766,1,1,0
7775,1,1,0
7783,1,1,0
7807,1,1,0
7828,1,1,0
7833,1,1,0
7838,1,1,0
7844,1,1,0
8389,1,1,0
8403,0,1,0
8404,1,1,0
8446,1,1,0
8466,1,1,0
8467,1,1,0
8469,1,1,0
8476,1,1,0
8483,1,1,0
8484,1,1,0
8489,1,1,0
8490,1,1,0
8491,1,1,0
8497,1,1,0
8498,1,1,0
8499,1,1,0
8500,1,1,0
8501,1,1,0
8502,0,1,0
8503,1,1,0
8504,0,1,0
8505,0,1,0
8506,1,1,0
8507,1,1,0
8508,1,1,0
8509,0,1,0
8510,1,1,0
8513,1,1,0
8514,1,1,0
8521,0,1,0
8522,0,1,0
8523,1,1,0
8524,1,1,0
8525,1,1,0
8526,0,1,0
8527,0,1,0
8528,1,1,0
8529,0,1,0
8530,0,1,0
8531,0,1,0
8532,0,1,0
8533,0,1,0
8534,0,1,0
8535,0,1,0
8536,1,1,0
8557,1,1,0
8558,1,1,0
8559,1,1,0
8560,1,1,0
8561,0,1,0
8562,0,1,0
8563,1,1,0
8564,1,1,0
8565,1,1,0
8566,0,1,0
8567,1,1,0
8568,1,1,0
8569,1,1,0
8570,1,1,0
8571,1,1,0
8572,1,1,0
8573,1,1,0
8579,1,1,0
8652,1,1,0
8658,0,1,0
8659,0,1,0
8660,0,1,0
8661,0,1,0
8662,0,1,0
8663,1,1,0
8664,1,1,0
8665,1,1,0
8666,1,1,0
8670,0,1,0
8671,1,1,0
9842,0,1,0
9843,1,1,0
7740,1,1,0
7743,1,1,0
8511,1,1,0
8512,1,1,0
8673,1,1,0
8674,1,1,0
8675,1,1,0
8683,1,1,0
8686,1,1,0
8687,1,1,0
8698,1,1,0
8699,0,1,0
8700,1,1,0
9841,1,1,0
8672,1,1,0
8701,1,1,0
8702,1,1,0
8868,0,1,0
8869,1,1,0
8870,1,1,0
8886,0,1,0
8887,1,1,0
8893,1,1,0
8894,1,1,0
9460,1,1,0
9461,1,1,0
9462,1,1,0
9482,1,1,0
9483,1,1,0
9484,1,1,0
9485,1,1,0
9486,1,1,0
9487,1,2,1
9696,1,1,0
9699,0,1,0
9694,1,2,1
9695,1,1,0
8676,1,1,0
8682,1,1,0
9700,1,1,0
9701,0,1,0
9702,1,1,0
9703,1,1,0
9704,0,1,0
9705,1,1,0
9706,1,1,0
9707,1,1,0
9708,1,1,0
9709,1,1,0
9710,1,1,0
9711,1,1,0
9712,1,1,0
9713,1,1,0
9714,0,1,0
9715,0,1,0
9716,1,1,0
9718,1,1,0
9719,1,1,0
9722,1,1,0
9723,1,1,0
9724,1,1,0
9725,1,1,0
9726,1,1,0
9727,1,1,0
9728,1,1,0
9730,1,1,0
9808,1,1,0
9836,1,1,0
9837,1,1,0
9840,1,1,0
7767,1,1,0
7774,1,1,0
8871,1,1,0
8885,1,1,0
7756,1,1,0
7765,1,1,0
9498,0,1,0
9499,1,1,0
9692,1,1,0
9500,0,1,0
9501,1,1,0
9504,0,1,0
9505,0,1,0
9506,1,1,0
9507,1,1,0
9508,1,1,0
9509,1,1,0
9510,1,1,0
9511,0,1,0
9512,0,1,0
9513,1,1,0
9515,0,14,0
9514,14,15,1
9516,0,1,0
9517,6,7,1
9519,1,1,0
9518,6,6,0
9522,1,1,0
9555,1,1,0
9556,0,1,0
9557,0,1,0
9558,0,2,0
9559,1,2,1
9560,1,1,0
9562,0,1,0
9563,1,1,0
9606,0,1,0
9607,1,1,0
9610,0,1,0
9611,1,68,0
9617,67,67,0
9612,0,1,0
9613,0,1,0
9614,0,1,0
9615,34,68,1
9616,67,68,0
9619,1,1,0
9687,1,1,0
9690,1,1,0
9691,1,1,0
9561,1,1,0
9693,1,1,0
9520,0,1,0
9521,1,1,0
9729,1,1,0
8895,1,1,0
8952,0,1,0
8953,1,1,0
8976,0,1,0
8977,0,1,0
8978,0,1,0
8979,360,360,0
9169,0,360,0
9170,360,360,0
9230,0,360,0
9231,0,360,0
9232,0,360,0
9233,360,360,0
9300,359,360,0
9301,0,1,0
9302,1,1,0
9303,0,1,0
9304,1,1,0
9306,1,1,0
9305,1,1,0
9308,0,360,0
9309,360,360,0
9310,360,360,0
9335,0,360,0
9336,359,360,0
9447,1,1,0
9448,0,1,0
9449,1,1,0
9459,1,1,0
9307,1,1,0
9234,360,360,0
9299,360,360,0
9717,1,1,0
9488,1,1,0
9497,1,1,0
9618,34,34,0
7577,0,1,0
7578,0,1,0
7579,0,1,0
7580,0,1,0
7581,0,1,0
7582,1,1,0
7585,1,1,0
7604,1,1,0
7607,0,1,0
7608,1,1,0
7612,0,1,0
7613,1,1,0
9867,0,1,0
9868,1,1,0
7614,1,1,0
7617,1,1,0
7618,1,1,0
7621,0,1,0
7622,1,1,0
7625,1,1,0
9844,1,1,0
9857,0,1,0
9858,1,1,0
9861,0,1,0
9862,0,1,0
9863,1,1,0
9866,1,1,0
9864,0,1,0
9865,1,1,0
6535,1,1,0
6540,1,1,0
6541,1,1,0
6545,1,1,0
6548,0,1,0
6549,1,1,0
6552,1,1,0
6555,1,1,0
6558,1,1,0
6559,1,1,0
6560,1,1,0
6561,1,1,0
6572,1,1,0
6573,1,1,0
6574,1,1,0
6575,1,1,0
6576,1,1,0
6579,1,1,0
6580,1,1,0
6581,1,1,0
6582,1,1,0
6583,1,1,0
6584,1,1,0
6585,1,1,0
6586,1,1,0
6587,1,1,0
